published,title,category
2024,Graphs with a given conditional diameter that maximize the Wiener index,math.CO
2024,An All-Optical General-Purpose CPU and Optical Computer Architecture,cs.ET
2024,"Three central limit theorems for the unbounded excursion component of a
  Gaussian field",math.PR
2024,Unveiling the Complete Variant of Spherical Robots,cs.RO
2024,"Ariadne and Theseus: Exploration and Rendezvous with Two Mobile Agents
  in an Unknown Graph",cs.MA
2024,"All-pay Auction Based Profit Maximization in End-to-End Computation
  Offloading System",cs.GT
2024,Hook length biases in ordinary and $t$-regular partitions,math.CO
2024,"A Systematic Construction Approach for All $4\times 4$ Involutory MDS
  Matrices",cs.CR
2024,Blueprint for all-to-all connected superconducting spin qubits,quant-ph
2024,"Selfie Taking with Facial Expression Recognition Using Omni-directional
  Camera",cs.CV
2024,UniIF: Unified Molecule Inverse Folding,cs.AI
1996,Real enumerative geometry and effective algebraic equivalence,alg-geom
1998,"Ionization balance for optically thin plasmas: rate coefficients for all
  atoms and ions of the elements H to Ni",astro-ph
2002,GRBs in the Cannonball model: an overview,astro-ph
2003,'Notches' in the Profiles of Bright Pulsars,astro-ph
1996,Non-equilibrium Phase-Ordering with a Global Conservation Law,cond-mat
1997,Regularity of the moving Fermi surface: the exact selfenergy,cond-mat.str-el
1997,Localization in simple multiparticle catalytic absorption model,cond-mat
1999,Transferable relativistic Dirac-Slater pseudopotentials,cond-mat.mtrl-sci
1999,"Phase Transitions Between Topologically Distinct Gapped Phases in
  Isotropic Spin Ladders",cond-mat.str-el
2001,"All-electron magnetic response with pseudopotentials: NMR chemical
  shifts",cond-mat.mtrl-sci
2004,Synchronization by Nonlinear Frequency Pulling,cond-mat.other
2004,"All Electronic Isolator Action Device Based on Negative Refractive
  Heterostructure Bi-Crystal with Field Induced Asymmetry",cond-mat.mtrl-sci
2004,Scattering Length Scaling Laws for Ultracold Three-Body Collisions,cond-mat.other
2005,On the Truncation of Systems with Non-Summable Interactions,cond-mat.stat-mech
2005,"Topology of Roscoe's- and Hvorslev's- Surfaces in the Phase Space of
  Soil Mechanics",cond-mat.soft
1999,Use and usability in a digital library search system,cs.DL
1999,Quadrilateral Meshing by Circle Packing,cs.CG
2006,Further Results on the Distinctness of Decimations of l-sequences,cs.CR
2006,"An Algorithm for Constructing All Families of Codes of Arbitrary
  Requirement in an OCDMA System",cs.IT
2006,Faster Algorithms for Constructing a Concept (Galois) Lattice,cs.DM
2006,"Exact solutions for the two- and all-terminal reliabilities of the
  Brecht-Colbourn ladder and the generalized fan",cs.PF
1997,"Conformally flat Einstein-like 4-manifolds and conformally flat
  Riemannian 4-manifolds all of whose Jacobi operators have parallel
  eigenspaces along every geodesic",dg-ga
1992,Asymptotic Behavior of the $T^3 \times R$ Gowdy Spacetimes,gr-qc
1993,A Cosmological Theory without Singularities,gr-qc
1994,Multidimensional Cosmology with $m$-Component Perfect Fluid,gr-qc
2004,A local potential for the Weyl tensor in all dimensions,gr-qc
2005,VSI_i spacetimes and the epsilon-property,gr-qc
1992,Improved Nonrelativistic QCD for Heavy Quark Physics,hep-lat
1992,"Noncomputability Arising In Dynamical Triangulation Model Of
  Four-Dimensional Quantum Gravity",hep-lat
2005,Practical all-to-all propagators for lattice QCD,hep-lat
1993,Complete Classes of GUTs with Vanishing One-Loop Beta Functions,hep-ph
1996,High-Energy Approximation of One-Loop Feynman Integrals,hep-ph
1996,"ERATO: event generator for four-fermion production at LEP2 energies and
  beyond",hep-ph
1997,Towards systematic near-threshold calculations in perturbative QFT,hep-ph
1998,Complete renormalization group improvement of QCD perturbation theory,hep-ph
1998,"Fermi spectra and their gauge invariance in hot and dense Abelian and
  non-Abelian theories",hep-ph
2001,Energy and Momentum of Oscillating Neutrinos,hep-ph
2002,The Pinch Technique to All Orders,hep-ph
2003,Saturation of optimality limits in hadron-hadron scatterings,hep-ph
2006,"Proof of the multi-Regge form of QCD amplitudes with gluon exchanges in
  the NLA",hep-ph
2006,"All-order Finiteness of the Higgs Boson Mass in the Dynamical
  Gauge-Higgs Unification",hep-ph
1991,Unification of All String Models with $c<1$,hep-th
1992,"Implications of an arithmetical symmetry of the commutant for modular
  invariants",hep-th
1993,Singular Limits and String Solutions,hep-th
1994,All WZW Mooels in $D\leq5$,hep-th
1994,BRST-Antibracket Cohomology in 2D Conformal Gravity,hep-th
1994,The Classification of SU(m)_{k} Automorphism Invariants,hep-th
1996,Loop Equations for + and - Loops in c = 1/2 Non-Critical String Theory,hep-th
1998,"Supersymmetric Structure of Spacetime and Matter -Superon Quintet
  Hypothesis-",hep-th
1998,Systematic Study of Theories with Quantum Modified Moduli II,hep-th
1998,"Brane intersections, anti-de Sitter spacetimes and dual superconformal
  theories",hep-th
1999,Two loop and all loop finite 4-metrics,hep-th
1999,"AdS_5/CFT_4 Four-point Functions of Chiral Primary Operators: Cubic
  Vertices",hep-th
2000,Invariance Theorems for Supersymmetric Yang-Mills Theories,hep-th
2002,An Elementary (Pseudo)Scalar at all scales,hep-th
2002,A Class of Exact Classical Solutions to String Theory,hep-th
2003,"Dependence of Variational Perturbation Expansions on Strong-Coupling
  Behavior. Inapplicability of delta-Expansion to Field Theory",hep-th
2003,"One-loop renormalizability of all 2d dimensional Poisson-Lie
  sigma-models",hep-th
2003,Potential and mass-matrix in gauged N=4 supergravity,hep-th
2005,Dualities and signatures of G++ invariant theories,hep-th
2005,Hairy strings,hep-th
2005,QED amplitudes: recurrence relations to all orders,hep-th
2006,The SU(2) Long Range Bethe Ansatz and Continuous Integrable Systems,hep-th
1993,On the distribution of sums of residues,math.NT
1996,"On vanishing sums of $\,m\,$th roots of unity in finite fields",math.NT
1996,Piecewise smooth one dimensional maps with nowhere vanishing derivative,math.DS
1997,On 2-generator subgroups of SO(3),math.GR
1997,A Partial Order Where All Monotone Maps Are Definable,math.LO
1998,"Invariant local twistor calculus for quaternionic structures and related
  geometries",math.DG
1998,Representations of N=2 superconformal vertex algebra,math.QA
1998,All toric l.c.i.-singularities admit projective crepant resolutions,math.AG
1999,Antichains in products of linear orders,math.LO
1999,Contact Lie algebras of vector fields on the plane,math.DG
1999,Λ(p)-sets and the limit order of operator ideals,math.FA
1999,Universal metric spaces and extension dimension,math.GN
2000,Genus one 1-bridge knots and Dunwoody manifolds,math.GT
2000,The Roelcke compactification of groups of homeomorphisms,math.GN
2000,"Geometry of GL_n(C) on infinity: complete collineations, projective
  compactifications, and universal boundary",math.RT
2001,Order One Invariants of Immersions,math.GT
2001,"On a Generalisation of Obreshkoff-Ehrlich Method for Simultaneous
  Extraction of All Roots of Polynomials Over an Arbitrary Chebyshev System",math.NA
2001,A Generalization of Moufang and Steiner Loops,math.GR
2001,On formality of generalised symmetric spaces,math.DG
2001,An Extension to the Tangent Sequence Martingale Inequality,math.PR
2001,Minimal volume Alexandrov spaces,math.GT
2002,On the order of unimodular matrices modulo integers,math.NT
2002,Cubic Polyhedra,math.MG
2002,On symbolic powers of prime ideals,math.AC
2002,Automorphisms of quantum and classical Poisson algebras,math.RA
2003,On Rectification of Circles and an Extension of Beltrami's Theorem,math.DG
2003,Nonvanishing cohomology and classes of Gorenstein rings,math.AC
2003,"Some non-hyperbolic systems with strictly non-zero Lyapunov exponents
  for all invariant measures: Horseshoes with internal tangencies",math.DS
2003,A product convergence theorem for Henstock--Kurzweil integrals,math.CA
2003,T-universal Functions With Prescribed Approximation Curves,math.CV
2003,Subvarieties in non-compact hyperkaehler manifolds,math.AG
2004,"A Condition of Boshernitzan and Uniform Convergence in the
  Multiplicative Ergodic Theorem",math.DS
2004,Holomorphic bundles on diagonal Hopf manifolds,math.AG
2004,$\mathcal{L}$-- and $\mathcal{R}$--cross-sections in the Brauer semigoup,math.GR
2004,"Embedding $\ell_{\infty}$ into the space of all Operators on Certain
  Banach Spaces",math.FA
2005,"Attached primes of the top local cohomology modules with respect to an
  ideal (II)",math.AC
2005,On automorphisms of categories of free algebras of some varieties,math.RA
2005,Metrics that realize all Lorentzian holonomy algebras,math.DG
2005,Embedding simple commutative monoids into simple refinement monoids,math.GM
2005,On the action of Lipschitz functions on vector-valued random sums,math.FA
2005,Physical Constraints of Numbers,math.GM
2005,The Andrews-Stanley partition function and Al-Salam-Chihara polynomials,math.CO
2005,Reflections in abstract Coxeter groups,math.GR
2005,Completeness with respect to the probabilistic Pompeiu-Hausdorff metric,math.PR
2005,On the degree of regularity of generalized van der Waerden triples,math.CO
2005,Homomorphisms between Weyl modules for SL_3(k),math.RT
2005,On homotopy varieties,math.CT
2005,Automorphisms of the semigroup of all endomorphisms of free algebras,math.GM
2005,"Asymmetric complete resolutions and vanishing of Ext over Gorenstein
  rings",math.AC
2005,On Kiselman's semigroup,math.GR
2006,Wiener-Wintner for Hilbert Transform,math.CA
2006,"The Dimensions of Integral Points and Holomorphic Curves on the
  Complements of Hyperplanes",math.NT
2006,The quantum sl(3) invariants of cubic bipartite planar graphs,math.GT
2006,"Constructing all irreducible Specht modules in a block of the symmetric
  group",math.CO
2006,Level 0 Monomial crystals,math.QA
2006,Dirac operators on all Podles quantum spheres,math.QA
2006,On the Orbits of Computably Enumerable Sets,math.LO
2006,Arrovian juntas,math.CO
2006,Projective 3-folds of general type with X=1,math.AG
2007,"Normal forms for the G_2-action on the real symmetric 7x7-matrices by
  conjugation",math.RA
2007,Abelian 1-Calabi-Yau Categories,math.CT
2007,"Subfunction relations defined by the clones containing all unary
  operations",math.CO
2003,Homogeneous Spaces of the Lorentz Group,math-ph
2003,Rhombic embeddings of planar graphs with faces of degree 4,math-ph
2003,Superintegrable Systems in Darboux spaces,math-ph
2005,A Generalization of Random Matrix Ensemble I: General Theory,math-ph
2005,Synchronization by Reactive Coupling and Nonlinear Frequency Pulling,nlin.AO
2006,Generalized Quantum Baker Maps as perturbations of a simple kernel,nlin.CD
2006,"Direct integral method, complete discrimination system for polynomial
  and applications to classifications of all single traveling wave solutions to
  nonlinear differential equations:a survey",nlin.SI
1998,"Deduction of the quantum numbers of low-lying states of 4-nucleon
  systems based on symmetry",nucl-th
1999,"Quarks and Neutron Halo Nuclei, Nuclear Clusters and Nuclear Molecules",nucl-th
2006,All orders breakup of heavy exotic nuclei in a semiclassical model,nucl-th
2001,An Ultralogic Unification for All Physical Theories,physics.gen-ph
2001,Fluctuation Analysis of Human Electroencephalogram,physics.med-ph
2003,All-optical reshaping of light pulses using $χ^{(2)}$ media,physics.optics
2005,Numerical study of the antiferromagnetic Ising model on a hypersphere,physics.comp-ph
2006,Nonlinear directional coupler for polychromatic light,physics.optics
1995,Symmetries of the Kac-Peterson Modular Matrices of Affine Algebras,q-alg
2005,"All possible bipartite positive-operator-value measurements of
  two-photon polarization states",quant-ph
2006,Two-Setting Bell Inequalities for Many Qubits,quant-ph
2006,What About Quantum Theory? Bayes and the Born Interpretation,quant-ph
2007,"Zeta function and cryptographic exponent of supersingular curves of
  genus 2",math.NT
2007,The Complexity of Orbits of Computably Enumerable Sets,math.LO
2007,"Bipartite all-versus-nothing proofs of Bell's theorem with single-qubit
  measurements",quant-ph
2007,Bose-Einstein Condensation in the Relativistic Ideal Bose Gas,cond-mat.supr-con
2007,Secant dimensions of low-dimensional homogeneous varieties,math.AG
2007,"Steiner-Minkowski Polynomials of Convex Sets in High Dimension, and
  Limit Entire Functions",math.CV
2007,Polyhedral tori with minimal coordinates,math.MG
2007,Generic local distinguishability and completely entangled subspaces,quant-ph
2007,If all geodesics are closed on the projective plane,math.DG
2007,"Automorphisms of the semigroup of invertible matrices with nonnegative
  elements over commutative partially ordered rings",math.RA
2007,"A Singlet-pairing superconductor is always also a
  super-spin-current-conductor",cond-mat.supr-con
2007,Complete Six-Gluon Disk Amplitude in Superstring Theory,hep-th
2007,"All static spherically symmetric anisotropic solutions of Einstein's
  equations",gr-qc
2007,Gluon Scattering in Deformed N=4 SYM,hep-th
2007,"All-optical switching and multistability in photonic structures with
  liquid crystal defects",cond-mat.soft
2008,Analyticity Properties of Graham-Witten Anomalies,hep-th
2008,"All-electron quantum Monte Carlo calculations for the noble gas atoms He
  to Xe",cond-mat.mtrl-sci
2008,Scheme for adding electron-nucleus cusps to Gaussian orbitals,physics.comp-ph
2008,"Representation theory of W-algebras, II: Ramond twisted representations",math.QA
2008,Symmetric construction of reference-frame-free qudits,quant-ph
2008,Low Cohomogeneity and Polar Actions on Exceptional Compact Lie Groups,math.DG
2008,Volume estimates for equiangular hyperbolic Coxeter polyhedra,math.GT
2008,The representation theory of cyclotomic BMW algebras,math.QA
2008,"The structure of strong linear preservers of gw-majorization on $
  \mathbf{M}_{{n,m}",math.FA
2008,Even universal binary Hermitian lattices over imaginary quadratic fields,math.NT
2008,"New Q matrices and their functional equations for the eight vertex model
  at elliptic roots of unity",cond-mat.stat-mech
2008,A Ring Isomorphism and corresponding Pseudoinverses,math.RA
2008,An Indicator Function Limit Theorem in Dynamical Systems,math.DS
2008,Searches for New Physics at CDF,hep-ex
2008,All-graphene integrated circuits via strain engineering,cond-mat.mes-hall
2008,Derivations in algebras of operator-valued functions,math.OA
2008,An exact spin liquid state on the kagome lattice with topological order,cond-mat.str-el
2008,Operations in Milnor K-theory,math.KT
2009,"Evolutionary Dynamics May Eliminate All Strategies Used in Correlated
  Equilibria",math.DS
2009,Jet Schemes of the Commuting Matrix Pairs Scheme,math.AG
2009,An effective all-atom potential for proteins,q-bio.BM
2009,Tree-level Split Helicity Amplitudes in Ambitwistor Space,hep-th
2009,On mod p representations which are defined over F_p: II,math.NT
2009,"Generalized Galileons: All scalar models whose curved background
  extensions maintain second-order field equations and stress tensors",gr-qc
2009,"An observation regarding systems which converge to steady states for all
  constant inputs, yet become chaotic with periodic inputs",math.DS
2009,"Convergence of Polynomial Ergodic Averages of Several Variables for some
  Commuting Transformations",math.DS
2009,The structure of bivariate rational hypergeometric functions,math.AG
2009,Masses of Quarks and Leptons in a Supersymmetric GUT,hep-ph
2009,All Mutually Unbiased Bases in Dimensions Two to Five,math-ph
2009,Entanglement combing,quant-ph
2009,On a certain class of operator algebras and their derivations,math.OA
2009,Quantum computing with semiconductor double-dot molecules on a chip,quant-ph
2009,On Finding Ordinary or Monochromatic Intersection Points,cs.CG
2009,"All-optical transistor action by off-resonant activation at laser
  threshold",physics.optics
2009,"Groupes linéaires finis permutant deux fois transitivement un ensemble
  de droites",math.GR
2009,"A description of all solutions of the matrix Hamburger moment problem in
  a general case",math.CA
2009,Continuous-Time Random Walks at All Times,cond-mat.stat-mech
2009,"Enumeration of maps with self avoiding loops and the O(n) model on
  random lattices of all topologies",math-ph
2009,"Darboux transformations for two dimensional elliptic affine Toda
  equations",nlin.SI
2009,Process Description of COM Object Life Cycle,cs.OS
2009,"A new method for identifying vertebrates using only their mitochondrial
  DNA",q-bio.GN
2010,"Infinitely many symmetries and conservation laws for quad-graph
  equations via the Gardner method",nlin.SI
2010,Poincaré families of G-bundles on a curve,math.AG
2010,Multiplicities of semidualizing modules,math.AC
2010,$SL_k$-Tiling of the Plane,math.CO
2010,"A classification of all finite index subfactors for a class of
  group-measure space II_1 factors",math.OA
2010,"Permutation Polynomials of Degree 6 or 7 over Finite Fields of
  Characteristic 2",math.CO
2010,Triple crossing numbers of graphs,math.CO
2010,"On linear $q$-ary completely regular codes with $ρ=2$ and dual
  antipodal",cs.IT
2010,A Concrete Representation of Observational Equivalence for PCF,cs.LO
2010,"Obstructions to shellability, partitionability, and sequential
  Cohen-Macaulayness",math.CO
2010,"On the Weak Lefschetz Property for Hilbert functions of almost complete
  intersections",math.AG
2010,The asymptotic value of Randic index for trees,math.CO
2010,All-versus-nothing proofs with n qubits distributed between m parties,quant-ph
2010,"Characteristic functions and Hamilton-Cayley theorem for left
  eigenvalues of quaternionic matrices",math.RA
2010,"Complete classification of torsion of elliptic curves over quadratic
  cyclotomic fields",math.NT
2010,Laplace-Runge-Lenz symmetry in general rotationally symmetric systems,math-ph
2010,Absolutely Continuous Compensators,math.PR
2010,"An Algebraic Approach for Computing Equilibria of a Subclass of Finite
  Normal Form Games",cs.GT
2010,"An Algorithm to List All the Fixed-Point Free Involutions on a Finite
  Set",cs.DS
2010,On single commutators in II_1-factors,math.OA
2010,Flat Mittag-Leffler modules over countable rings,math.RA
2010,Salem numbers and Pisot numbers via interlacing,math.NT
2010,Counting Links and Knots in Complete Graphs,math.GT
2010,"Characterizing extremal digraphs for identifying codes and extremal
  cases of Bondy's theorem on induced subsets",cs.DM
2010,Multiplier sequences and logarithmic mesh,math.CA
2010,"Characterizations of intra-regular gamma AG-groupoids by the properties
  of their gamma ideals",math.GR
2010,Irreducible Highest Weight Representations Of The Simple n-Lie Algebra,math.RT
2010,"On Unimodality of Hilbert Functions of Gorenstein Artin Algebras of
  Embedding Dimension Four",math.AC
2010,"Cyclotomic Matrices and Graphs over the ring of integers of some
  imaginary quadratic fields",math.NT
2010,Nuclear size correction to the Lamb shift of one-electron atoms,physics.atom-ph
2010,"All-Optical Control of Light Group Velocity with a Cavity Optomechanical
  System",physics.optics
2010,Fermion Mass Hierarchy from Symmetry Breaking at the TeV Scale,hep-ph
2010,Multiple spin-flop phase diagram of BaCu2Si2O7,cond-mat.str-el
2011,"All Possible Coupling Schemes in XY Spin Chains for Perfect State
  Transfer",quant-ph
2011,A Note on Set Graceful Labeling of Graphs,math.CO
2011,Biharmonic maps into symmetric spaces and integrable systems,math.DG
2011,Residuated Park Theories,cs.LO
2011,Green's J-order and the rank of tropical matrices,math.RA
2011,"A Characterization of Finite EI Categories with Hereditary Category
  Algebras",math.RT
2011,Multiparameter Twisted Weyl Algebras,math.QA
2011,Inverse periodic shadowing properties,math.DS
2011,Hecke operators on differential modular forms mod p,math.NT
2011,All pentagonal face multi tori,math.CO
2011,"Design, Engineering, and Experimental Analysis of a Simulated Annealing
  Approach to the Post-Enrolment Course Timetabling Problem",cs.DM
2011,Are All Probabilities Fundamentally Quantum Mechanical?,quant-ph
2011,"Exposed faces for decomposable positive linear maps arising from
  completely positive maps",math-ph
2011,"Abelian surfaces admitting an (l,l)-endomorphism",math.AG
2011,"Hybrid amplitude determination in charged kaon photoproduction and
  comparison with partial waves analysis in the energy range of 1800 to 2300
  MeV",hep-ph
2011,Traces on symmetrically normed operator ideals,math.OA
2011,On the axioms for adhesive and quasiadhesive categories,math.CT
2011,"PT Symmetric, Hermitian and P-Self-Adjoint Operators Related to
  Potentials in PT Quantum Mechanics",quant-ph
2011,Finite Groups with Submultiplicative Spectra,math.GR
2011,Near threshold all-optical backaction amplifier,quant-ph
2011,"A first step towards computing all hybridization networks for two rooted
  binary phylogenetic trees",q-bio.PE
2011,"The Space of all Paths for a Quantum System: Revisiting EPR and Bell's
  Theorem",quant-ph
2011,"Optimum Relay Scheme in a Secure Two-Hop Amplify and Forward Cooperative
  Communication System",cs.IT
2011,Groups of given intermediate word growth,math.GR
2011,On locally defined formations of soluble Lie and Leibniz algebras,math.RA
2011,"Classification of extremal and $s$-extremal binary self-dual codes of
  length 38",cs.DM
2011,Relativity accommodates superluminal mean velocities,hep-ph
2011,Spherical affine cones in exceptional cases and related branching rules,math.RT
2011,Spectra and catenarity of multiparameter quantum Schubert cells,math.RA
2011,On the Verdet constant and Faraday rotation for graphene-like materials,math-ph
2011,An all order identity between ABJM and N=4 SYM four-point amplitudes,hep-th
2011,"Double real radiation corrections to $t\bar{t}$ production at the LHC:
  the all-fermion processes",hep-ph
2012,Inequalities for Jacobi polynomials,math.RT
2012,"A Direct Method To Generate Pythagorean Triples And Its Generalization
  To Pythagorean Quadruples And n-tuples",math.NT
2012,Quasar Structure Emerges from the Three Forms of Radiation Pressure,astro-ph.CO
2012,"A consistent multivariate test of association based on ranks of
  distances",stat.ME
2012,Detecting Tampering in a Random Hypercube,math.PR
2012,All totally symmetric colored graphs,math.CO
2012,Cubic vertex-transitive graphs on up to 1280 vertices,math.CO
2012,Dynamics of linear maps of idempotent measures,math.DS
2012,"A classification of algebras stratified for all preorders by Koszul
  theory",math.RT
2012,Tight complexes in 3-space admit perfect discrete Morse functions,math.GT
2012,Lattice-point enumerators of ellipsoids,math.NT
2012,Quantum Integrability for Three-Point Functions,hep-th
2012,The structure of decomposition of a triconnected graph,math.CO
2012,Classic Nintendo Games are (Computationally) Hard,cs.CC
2012,On invariants and forbidden sets,math.DS
2012,"A linear time algorithm for the next-to-shortest path problem on
  undirected graphs with nonnegative edge lengths",cs.DS
2012,"Root location in random trees: A polarity property of all sampling
  consistent phylogenetic models except one",q-bio.PE
2012,Finiteness properties of local cohomology for F-pure local rings,math.AC
2012,Bouligand-Severi Tangents in MV-Algebras,math.LO
2012,The Radio numbers of all graphs of order $n$ and diameter $n-2$,math.CO
2012,"Minimum Component Based First-Order Inverting and Non-inverting Outputs
  of All-Pass Filter at the Same Circuit",cs.OH
2012,Using Swarm Intelligence To Accelerate Pulsar Timing Analysis,astro-ph.IM
2012,"Spacetimes with all scalar curvature invariants in terms of the
  Cosmological Constant",gr-qc
2012,On totally real numbers and equidistribution,math.NT
2012,Graph decomposition and parity,math.CO
2012,The Yang-Mills and chiral fields in six dimensions,hep-th
2012,Robust vanishing of all Lyapunov exponents for iterated function systems,math.DS
2012,On the Composition of Secret Sharing Schemes Related to Codes,cs.IT
2012,Maximally correlated multipartite quantum states,quant-ph
2012,"A census of quadratic post-critically finite rational maps defined over
  Q",math.NT
2012,Cellular resolutions of powers of monomial ideals,math.AC
2012,"Degree of mobility for metrics of lorentzian signature and parallel
  (0,2)-tensor fields on cone manifolds",math.DG
2012,"Separability of qubit-qudit quantum states with strong positive partial
  transposes",quant-ph
2013,Entanglement and discord in two-mode Gaussian open quantum systems,quant-ph
2013,Local normal forms for geodesically equivalent pseudo-Riemannian metrics,math.DG
2013,Affine invariant points,math.FA
2013,Medial symmetry type graphs,math.CO
2013,An Algorithm for constructing Hjelmslev planes,math.CO
2013,Coarsening in 2D slabs,math.PR
2013,All-analytical semiclassical theory of spaser for plasmonic nanocavity,physics.optics
2013,Fast selection of N-2 contingencies for online security assessment,physics.soc-ph
2013,On the p-adic Second Main Theorem,math.CV
2013,"The Strong Goldbach Conjecture: Proof for All Even Integers Greater than
  362",math.GM
2013,Most irreducible representations of the 3-string braid group,math.RA
2013,Automorphisms of groups and converse of Schur's theorem,math.GR
2013,Harmonic motion and Cassini ovals,math.CA
2013,Classification of Half Planar Maps,math.PR
2013,Objective Probability,cs.AI
2013,Whitney extension operators without loss of derivatives,math.FA
2013,Almost all k-cop-win graphs contain a dominating set of cardinality k,math.CO
2013,"Simple-minded systems, configurations and mutations for
  representation-finite self-injective algebras",math.RT
2013,Embeddings for solutions of Einstein equations,gr-qc
2013,Calabi--Yau threefolds in $\mathbb{P}^6$,math.AG
2013,Dynamical degrees of birational transformations of projective surfaces,math.AG
2013,On the Problem of Ambiguity of Electromagnetic Potential,physics.gen-ph
2013,Subdivision rules for special cubulated groups,math.GT
2013,Graphical law beneath each written natural language,physics.gen-ph
2013,An Algorithm Enumerating All Infinite Repetitions in a D0L System,math.CO
2013,n-fold filters in residuated lattice,math.LO
2013,On countable coverings of word values in profinite groups,math.GR
2013,Linear maps preserving the dimension of fixed points of operators,math.FA
2013,Quantum Process Tomography of a Molmer-Sorensen Interaction,quant-ph
2013,Generating all finite modular lattices of a given size,math.CO
2013,A family of varieties of pseudosemilattices,math.RA
2013,"Comparative Assembly Hubs: Web Accessible Browsers for Comparative
  Genomics",q-bio.GN
2013,Special Jordan subspaces in Coupled Cell Networks,math.DS
2013,"Radiative Origin of All Quark and Lepton Masses through Dark Matter with
  Flavor Symmetry",hep-ph
2013,"Teichmüller space of negatively curved metrics on Gromov Thurston
  Manifolds is not contractible",math.GT
2013,Minimal Pancyclicity,math.CO
2013,On quadratic orbital networks,math.DS
2013,Constructing $7$-clusters,math.CO
2013,"Partially-PT-symmetric optical potentials with all-real spectra and
  soliton families in multi-dimensions",nlin.PS
2013,Nonlocal dispersive optical model ingredients for ${}^{40}$Ca,nucl-th
2013,"Improved bounds on maximum sets of letters in sequences with forbidden
  alternations",math.CO
2014,"A note on ""A simple algorithm to search for all MCs in networks""",math.OC
2014,"Search of double shell closure in the superheavy nuclei using a simple
  effective interaction",nucl-th
2014,On cycles in intersection graph of rings,math.AC
2014,Planar infinite groups,math.GR
2014,All Real Eigenvalues of Symmetric Tensors,math.NA
2014,Exact quantum algorithms have advantage for almost all Boolean functions,cs.CC
2014,Some topological considerations on semistar operations,math.AC
2014,A rigged configuration model for $B(\infty)$,math.CO
2014,Cones of Hilbert functions,math.AC
2014,The second moment of twisted modular L-functions,math.NT
2014,Procyclic coverings of commutators in profinite groups,math.GR
2014,Blockmodeling of multilevel networks,stat.ME
2014,Stable Invitations,cs.GT
2014,"On V-Semirings and Semirings all of whose Cyclic Semimodules are
  Injective",math.RA
2014,All-Passive Nonreciprocal Metasurface,physics.optics
2014,All-optical switching using Kerr effect in a silica toroid microcavity,physics.optics
2014,"Irreducible representations of a family of groups of maximal nilpotency
  class I: the non-exceptional case",math.GR
2014,Matrix semigroups with constant spectral radius,math.MG
2014,An all-optical nanomechanical heat engine,cond-mat.stat-mech
2014,Cutting arcs for torus links and trees,math.GT
2014,Pauli effects in uncertainty relations,quant-ph
2014,"Magnetic induction tomography using an all-optical $^{87}$Rb atomic
  magnetometer",physics.atom-ph
2014,A proof algorithm associated with the dipole splitting algorithm,hep-ph
2014,"All the Lagrangian relative equilibria of the curved 3-body problem have
  equal masses",math.DS
2014,"Congruence conditions on the number of terms in sums of consecutive
  squared integers equal to squared integers",math.NT
2014,Wavelet frames on Vilenkin groups and their approximation properties,math.CA
2014,"The classification of (3/2)-transitive permutation groups and
  (1/2)-transitive linear groups",math.GR
2014,KMS weights on graph C*-algebras II Factor types and ground states,math.OA
2015,"Application of Coherent State Approach for the cancellation of Infrared
  divergences to all orders in LFQED",hep-th
2015,"Calculation of the Number of all Pairs of Disjoint S-permutation
  Matrices",math.CO
2015,On Maximal Subalgebras,math.AC
2015,"Second International Nurse Rostering Competition (INRC-II) --- Problem
  Description and Rules ---",cs.AI
2015,Key (critical) relations preserved by a weak near-unanimity function,math.RA
2015,New simultaneous methods for finding all zeros of a polynomial,math.NA
2015,On focal submanifolds of isoparametric hypersurfaces and Simons formula,math.DG
2015,Leonard pairs having zero-diagonal TD-TD form,math.RA
2015,Bouncing alternatives to inflation,astro-ph.CO
2015,Four factorization formulas for plane partitions,math.CO
2015,"Conserved integrals for inviscid compressible fluid flow in Riemannian
  manifolds",math-ph
2015,"Two series of formalized interpretability principles for weak systems of
  arithmetic",math.LO
2015,On reflective subcategories of locally presentable categories,math.CT
2015,On the link Floer homology of $L$-space links,math.GT
2015,"Realization of spin-dependent splitting with arbitrary intensity
  patterns based on all-dielectric metasurfaces",physics.optics
2015,Dependence of Discrete Sturm-Liouville Eigenvalues on Problems,math.SP
2015,"Conservative algebras of $2$-dimensional algebras, II",math.RA
2015,A Quantitative Criterion for Defining Planets,astro-ph.EP
2015,Growth of Hyperbolic Cells,math.CV
2015,"Raman-scattering-assistant broadband noise-like pulse generation in
  all-normal-dispersion fiber lasers",physics.optics
2015,"Coupling all-atom molecular dynamics simulations of ions in water with
  Brownian dynamics",physics.comp-ph
2015,"Multi-interval Sturm-Liouville boundary-value problems with
  distributional potentials",math.SP
2015,Invertibility modulo dead-ending no-P-universes,cs.DM
2015,"Representation and Factorization of Discrete-Time Rational All-Pass
  Functions",math.OC
2015,On the spectral radius of simple digraphs with prescribed number of arcs,math.CO
2015,Reconstructing Topological Graphs and Continua,math.GN
2015,Rigged configurations for all symmetrizable types,math.CO
2015,"On the computation of the Ratliff-Rush closure, associated graded ring
  and invariance of a length",math.AC
2015,Trace-distance measure of coherence,quant-ph
2015,On the Berger conjecture for manifolds all of whose geodesics are closed,math.DG
2015,"Coloring graphs without fan vertex-minors and graphs without cycle
  pivot-minors",math.CO
