title,summary,authors,published,link,category,keywords
"An Exploration of Hands-free Text Selection for Virtual Reality
  Head-Mounted Displays","Hand-based interaction, such as using a handheld controller or making hand
gestures, has been widely adopted as the primary method for interacting with
both virtual reality (VR) and augmented reality (AR) head-mounted displays
(HMDs). In contrast, hands-free interaction avoids the need for users' hands
and although it can afford additional benefits, there has been limited research
in exploring and evaluating hands-free techniques for these HMDs. As VR HMDs
become ubiquitous, people will need to do text editing, which requires
selecting text segments. Similar to hands-free interaction, text selection is
underexplored. This research focuses on both, text selection via hands-free
interaction. Our exploration involves a user study with 24 participants to
investigate the performance, user experience, and workload of three hands-free
selection mechanisms (Dwell, Blink, Voice) to complement head-based pointing.
Results indicate that Blink outperforms Dwell and Voice in completion time.
Users' subjective feedback also shows that Blink is the preferred technique for
text selection. This work is the first to explore hands-free interaction for
text selection in VR HMDs. Our results provide a solid platform for further
research in this important area.","['Xuanru Meng', 'Wenge Xu', 'Hai-Ning Liang']",2022-09-14T09:25:54Z,http://arxiv.org/abs/2209.06825v2,"['cs.HC', 'H.5.1; I.3.7']","Hands-free interaction,Text selection,Virtual reality,Augmented reality,Head-mounted displays,User study,Dwell,Blink,Voice"
"HyperGuider: Virtual Reality Framework for Interactive Path Planning of
  Quadruped Robot in Cluttered and Multi-Terrain Environments","Quadruped platforms have become an active topic of research due to their high
mobility and traversability in rough terrain. However, it is highly challenging
to determine whether the clattered environment could be passed by the robot and
how exactly its path should be calculated. Moreover, the calculated path may
pass through areas with dynamic objects or environments that are dangerous for
the robot or people around. Therefore, we propose a novel conceptual approach
of teaching quadruped robots navigation through user-guided path planning in
virtual reality (VR). Our system contains both global and local path planners,
allowing robot to generate path through iterations of learning. The VR
interface allows user to interact with environment and to assist quadruped
robot in challenging scenarios. The results of comparison experiments show that
cooperation between human and path planning algorithms can increase the
computational speed of the algorithm by 35.58% in average, and non-critically
increasing of the path length (average of 6.66%) in test scenario.
Additionally, users described VR interface as not requiring physical demand
(2.3 out of 10) and highly evaluated their performance (7.1 out of 10). The
ability to find a less optimal but safer path remains in demand for the task of
navigating in a cluttered and unstructured environment.","['Ildar Babataev', 'Aleksey Fedoseev', 'Nipun Weerakkodi', 'Elena Nazarova', 'Dzmitry Tsetserukou']",2022-09-20T18:29:08Z,http://arxiv.org/abs/2209.09940v1,"['cs.RO', 'cs.HC']","Virtual Reality,Path Planning,Quadruped Robot,Cluttered Environment,Multi-Terrain,Global Path Planner,Local Path Planner,Human-Robot Cooperation,Computational Speed,Path Length"
Real-Time Locomotion on Soft Grounds With Dynamic Footprints,"When we move on snow, sand, or mud, the ground deforms under our feet,
immediately affecting our gait. We propose a physically based model for
computing such interactions in real time, from only the kinematic motion of a
virtual character. The force applied by each foot on the ground during contact
is estimated from the weight of the character, its current balance, the foot
speed at the time of contact, and the nature of the ground. We rely on a
standard stress-strain relationship to compute the dynamic deformation of the
soil under this force, where the amount of compression and lateral displacement
of material are, respectively, parameterized by the soil's Young modulus and
Poisson ratio. The resulting footprint is efficiently applied to the terrain
through procedural deformations of refined terrain patches, while the addition
of a simple controller on top of a kinematic character enables capturing the
effect of ground deformation on the character's gait. As our results show, the
resulting footprints greatly improve visual realism, while ground compression
results in consistent changes in the character's motion. Readily applicable to
any locomotion gait and soft soil material, our real-time model is ideal for
enhancing the visual realism of outdoor scenes in video games and virtual
reality applications.","['Eduardo Alvarado', 'Chloé Paliard', 'Damien Rohmer', 'Marie-Paule Cani']",2022-09-21T09:24:05Z,http://arxiv.org/abs/2209.10215v1,['cs.GR'],"Real-time,Locomotion,Soft Grounds,Dynamic Footprints,Kinematic Motion,Virtual Character,Ground Deformation,Soil,Young Modulus,Poisson Ratio"
"Improved Perception of AEC Construction Details via Immersive Teaching
  in Virtual Reality","This work proposes, implements and tests an immersive framework upon Virtual
Reality (VR) for comprehension, knowledge development and learning process
assisting an improved perception of complex spatial arrangements in AEC in
comparison to the traditional 2D projection drawing-based method. The research
focuses on the prototypical example of construction details as a traditionally
difficult teaching task for conveying geometric and semantic information to
students. Our mixed-methods study analyses test results of two test panel
groups upon different questions about geometric and functional aspects of the
construction detail as well as surveys and interviews of participating
lecturers, students and laypersons towards their experience using the VR tool.
The quantitative analysis of the test results prove that for participants with
little pre-existing knowledge (such as novice students), a significantly better
learning score for the test group is detected. Moreover, both groups rated the
VR experience as an enjoyable and engaging way of learning. Analysis of survey
results towards the VR experience reveals, that students, lecturers and
professionals alike enjoyed the VR experience more than traditional learning of
the construction detail. During the post-experiment qualitative evaluation in
the form of interviews, the panel expressed an improved understanding,
increased enthusiasm for the topic, and greater desire for other topics to be
presented using VR tools. The expressed better understanding of design concepts
after the VR experience by the students is statistically significant on average
in the exam results. The results support our core assumption, that the
presentation of contextual 3D models is a promising teaching approach to
illustrate content.","['Michael Kraus', 'Romana Rust', 'Maximilian Rietschel', 'Daniel Hall']",2022-09-21T19:22:25Z,http://arxiv.org/abs/2209.10617v1,['cs.HC'],"immersive framework,Virtual Reality (VR),AEC,spatial arrangements,construction details,geometric information,semantic information,mixed-methods study,VR tool,qualitative evaluation"
"Facilitating Self-monitored Physical Rehabilitation with Virtual Reality
  and Haptic feedback","Physical rehabilitation is essential to recovery from joint replacement
operations. As a representation, total knee arthroplasty (TKA) requires
patients to conduct intensive physical exercises to regain the knee's range of
motion and muscle strength. However, current joint replacement physical
rehabilitation methods rely highly on therapists for supervision, and existing
computer-assisted systems lack consideration for enabling self-monitoring,
making at-home physical rehabilitation difficult. In this paper, we
investigated design recommendations that would enable self-monitored
rehabilitation through clinical observations and focus group interviews with
doctors and therapists. With this knowledge, we further explored Virtual
Reality(VR)-based visual presentation and supplemental haptic motion guidance
features in our implementation VReHab, a self-monitored and multimodal physical
rehabilitation system with VR and vibrotactile and pneumatic feedback in a TKA
rehabilitation context. We found that the third point of view real-time
reconstructed motion on a virtual avatar overlaid with the target pose
effectively provides motion awareness and guidance while haptic feedback helps
enhance users' motion accuracy and stability. Finally, we implemented
\systemname to facilitate self-monitored post-operative exercises and validated
its effectiveness through a clinical study with 10 patients.","['Yu Jiang', 'Zhipeng Li', 'Ziyue Dang', 'Yuntao Wang', 'Yukang Yan', 'Y Zhang', 'Xinguang Wang', 'Yansong Li', 'Mouwang Zhou', 'Hua Tian', 'Yuanchun Shi']",2022-09-24T14:37:14Z,http://arxiv.org/abs/2209.12018v2,['cs.HC'],"physical rehabilitation,virtual reality,haptic feedback,joint replacement,total knee arthroplasty,self-monitoring,motion guidance,virtual avatar,clinical study"
"Virtual-Reality based Vestibular Ocular Motor Screening for Concussion
  Detection using Machine-Learning","Sport-related concussion (SRC) depends on sensory information from visual,
vestibular, and somatosensory systems. At the same time, the current clinical
administration of Vestibular/Ocular Motor Screening (VOMS) is subjective and
deviates among administrators. Therefore, for the assessment and management of
concussion detection, standardization is required to lower the risk of injury
and increase the validation among clinicians. With the advancement of
technology, virtual reality (VR) can be utilized to advance the standardization
of the VOMS, increasing the accuracy of testing administration and decreasing
overall false positive rates. In this paper, we experimented with multiple
machine learning methods to detect SRC on VR-generated data using VOMS. In our
observation, the data generated from VR for smooth pursuit (SP) and the Visual
Motion Sensitivity (VMS) tests are highly reliable for concussion detection.
Furthermore, we train and evaluate these models, both qualitatively and
quantitatively. Our findings show these models can reach high
true-positive-rates of around 99.9 percent of symptom provocation on the VR
stimuli-based VOMS vs. current clinical manual VOMS.","['Khondker Fariha Hossain', 'Sharif Amit Kamran', 'Prithul Sarker', 'Philip Pavilionis', 'Isayas Adhanom', 'Nicholas Murray', 'Alireza Tavakkoli']",2022-10-13T02:09:21Z,http://arxiv.org/abs/2210.09295v1,"['eess.IV', 'cs.CV']","virtual reality,vestibular ocular motor screening,concussion detection,machine learning"
"WiserVR: Semantic Communication Enabled Wireless Virtual Reality
  Delivery","Virtual reality (VR) over wireless is expected to be one of the killer
applications in next-generation communication networks. Nevertheless, the huge
data volume along with stringent requirements on latency and reliability under
limited bandwidth resources makes untethered wireless VR delivery increasingly
challenging. Such bottlenecks, therefore, motivate this work to seek the
potential of using semantic communication, a new paradigm that promises to
significantly ease the resource pressure, for efficient VR delivery. To this
end, we propose a novel framework, namely WIreless SEmantic deliveRy for VR
(WiserVR), for delivering consecutive 360{\deg} video frames to VR users.
Specifically, deep learning-based multiple modules are well-devised for the
transceiver in WiserVR to realize high-performance feature extraction and
semantic recovery. Among them, we dedicatedly develop a concept of semantic
location graph and leverage the joint-semantic-channel-coding method with
knowledge sharing to not only substantially reduce communication latency, but
also to guarantee adequate transmission reliability and resilience under
various channel states. Moreover, implementation of WiserVR is presented,
followed by corresponding initial simulations for performance evaluation
compared with benchmarks. Finally, we discuss several open issues and offer
feasible solutions to unlock the full potential of WiserVR.","['Le Xia', 'Yao Sun', 'Chengsi Liang', 'Daquan Feng', 'Runze Cheng', 'Yang Yang', 'Muhammad Ali Imran']",2022-11-02T16:22:41Z,http://arxiv.org/abs/2211.01241v4,"['eess.IV', 'cs.AI', 'eess.SP']","Wireless,Virtual Reality,Semantic Communication,Latency,Reliability,Bandwidth,Deep Learning,Channel Coding,Performance Evaluation,Resource Management"
Characterizing Virtual Reality Software Testing,"Virtual Reality (VR) is an emerging technique that provides a unique
real-time experience for users. VR technologies have provided revolutionary
user experiences in various scenarios (e.g., training, education,
product/architecture design, gaming, remote conference/tour, etc.). However,
testing VR applications is challenging due to their nature which necessitates
physical interactivity, and their reliance on hardware systems. Despite the
recent advancements in VR technology and its usage scenarios, we still know
little about VR application testing. To fill up this knowledge gap, we
performed an empirical study on 97 open-source VR applications including 28
industrial projects. Our analysis identified that 74.2% of the VR projects
evaluated did not have any tests, and for the VR projects that did, the median
functional-method to test-method ratio was low in comparison to other project
categories. Moreover, we uncovered tool support issues concerning the
measurement of VR code coverage, and the code coverage and assertion density
results we were able to generate were also relatively low, as they respectively
had averages of 15.63% and 17.69%. Finally, through manual analysis of 220 test
cases from four VR applications and 281 test cases from four non-VR
applications, we identified that VR applications require specific categories of
test cases to ensure VR application quality attributes. We believe that our
findings constitute a call to action for the VR development community to
improve testing aspects and provide directions for software engineering
researchers to develop advanced techniques for automatic test case generation
and test quality analysis for VR applications.","['Dhia Elhaq Rzig', 'Nafees Iqbal', 'Isabella Attisano', 'Xue Qin', 'Foyzul Hassan']",2022-11-03T16:59:01Z,http://arxiv.org/abs/2211.01992v1,['cs.SE'],"Virtual Reality,Software Testing,VR applications,Hardware systems,Empirical Study,Code Coverage,Assertion Density,Test Cases,Quality Attributes,Test Quality Analysis"
Analyzing Performance Issues of Virtual Reality Applications,"Extended Reality (XR) includes Virtual Reality (VR), Augmented Reality (AR)
and Mixed Reality (MR). XR is an emerging technology that simulates a realistic
environment for users. XR techniques have provided revolutionary user
experiences in various application scenarios (e.g., training, education,
product/architecture design, gaming, remote conference/tour, etc.). Due to the
high computational cost of rendering real-time animation in limited-resource
devices and constant interaction with user activity, XR applications often face
performance bottlenecks, and these bottlenecks create a negative impact on the
user experience of XR software. Thus, performance optimization plays an
essential role in many industry-standard XR applications. Even though
identifying performance bottlenecks in traditional software (e.g., desktop
applications) is a widely explored topic, those approaches cannot be directly
applied within XR software due to the different nature of XR applications.
Moreover, XR applications developed in different frameworks such as Unity and
Unreal Engine show different performance bottleneck patterns and thus,
bottleneck patterns of Unity projects can't be applied for Unreal Engine
(UE)-based XR projects. To fill the knowledge gap for XR performance
optimizations of Unreal Engine-based XR projects, we present the first
empirical study on performance optimizations from seven UE XR projects, 78 UE
XR discussion issues and three sources of UE documentation. Our analysis
identified 14 types of performance bugs, including 12 types of bugs related to
UE settings issues and two types of CPP source code-related issues. To further
assist developers in detecting performance bugs based on the identified bug
patterns, we also developed a static analyzer, UEPerfAnalyzer, that can detect
performance bugs in both configuration files and source code.","['Jason Hogan', 'Aaron Salo', 'Dhia Elhaq Rzig', 'Foyzul Hassan', 'Bruce Maxim']",2022-11-03T17:27:36Z,http://arxiv.org/abs/2211.02013v1,['cs.SE'],"Virtual Reality,Augmented Reality,Mixed Reality,Extended Reality,XR,performance issues,performance optimization,bottleneck patterns,Unreal Engine,UEPerfAnalyzer"
Assessment of Human Behavior in Virtual Reality by Eye Tracking,"Virtual reality (VR) is not a new technology but has been in development for
decades, driven by advances in computer technology. Currently, VR technology is
increasingly being used in applications to enable immersive, yet controlled
research settings. Education and entertainment are two important application
areas, where VR has been considered a key enabler of immersive experiences and
their further advancement. At the same time, the study of human behavior in
such innovative environments is expected to contribute to a better design of VR
applications. Therefore, modern VR devices are consistently equipped with
eye-tracking technology, enabling thus further studies of human behavior
through the collection of process data. In particular, eye-tracking technology
in combination with machine learning techniques and explainable models can
provide new insights for a deeper understanding of human behavior during
immersion in virtual environments.
  In this work, a systematic computational framework based on eye-tracking and
behavioral user data and state-of-the-art machine learning approaches is
proposed to understand human behavior and individual differences in VR
contexts. This computational framework is then employed in three user studies
across two different domains. In the educational domain, two different
immersive VR classrooms were created where students can learn and teachers can
train. In terms of VR entertainment, eye movements open a new avenue to
evaluate VR locomotion techniques from the perspective of user cognitive load
and user experience. This work paves the way for assessing human behavior in VR
scenarios and provides profound insights into the way of designing, evaluating,
and improving interactive VR systems. In particular, more effective and
customizable virtual environments can be created to provide users with tailored
experiences.",['Hong Gao'],2022-11-23T10:49:03Z,http://arxiv.org/abs/2211.12846v1,"['cs.HC', 'I.0']","Virtual reality,Eye tracking,Human behavior,Machine learning,Immersive experiences,User studies,Cognitive load,User experience,Interactive VR systems,Virtual environments"
Label Guidance based Object Locating in Virtual Reality,"Object locating in virtual reality (VR) has been widely used in many VR
applications, such as virtual assembly, virtual repair, virtual remote
coaching. However, when there are a large number of objects in the virtual
environment(VE), the user cannot locate the target object efficiently and
comfortably. In this paper, we propose a label guidance based object locating
method for locating the target object efficiently in VR. Firstly, we introduce
the label guidance based object locating pipeline to improve the efficiency of
the object locating. It arranges the labels of all objects on the same screen,
lets the user select the target labels first, and then uses the flying labels
to guide the user to the target object. Then we summarize five principles for
constructing the label layout for object locating and propose a two-level
hierarchical sorted and orientated label layout based on the five principles
for the user to select the candidate labels efficiently and comfortably. After
that, we propose the view and gaze based label guidance method for guiding the
user to locate the target object based on the selected candidate labels.It
generates specific flying trajectories for candidate labels, updates the flying
speed of candidate labels, keeps valid candidate labels , and removes the
invalid candidate labels in real time during object locating with the guidance
of the candidate labels. Compared with the traditional method, the user study
results show that our method significantly improves efficiency and reduces task
load for object locating.","['Xiaoheng Wei', 'Xuehuai Shi', 'Lili Wang']",2022-12-07T09:52:40Z,http://arxiv.org/abs/2212.03546v1,['cs.HC'],"Virtual reality,Object locating,Label guidance,Label layout,Hierarchical,Flying labels,User study,Efficiency,Task load"
"CoVRage: Millimeter-Wave Beamforming for Mobile Interactive Virtual
  Reality","Contemporary Virtual Reality (VR) setups often include an external source
delivering content to a Head-Mounted Display (HMD). ""Cutting the wire"" in such
setups and going truly wireless will require a wireless network capable of
delivering enormous amounts of video data at an extremely low latency. The
massive bandwidth of higher frequencies, such as the millimeter-wave (mmWave)
band, can meet these requirements. Due to high attenuation and path loss in the
mmWave frequencies, beamforming is essential. In wireless VR, where the antenna
is integrated into the HMD, any head rotation also changes the antenna's
orientation. As such, beamforming must adapt, in real-time, to the user's head
rotations. An HMD's built-in sensors providing accurate orientation estimates
may facilitate such rapid beamforming. In this work, we present coVRage, a
receive-side beamforming solution tailored for VR HMDs. Using built-in
orientation prediction present on modern HMDs, the algorithm estimates how the
Angle of Arrival (AoA) at the HMD will change in the near future, and covers
this AoA trajectory with a dynamically shaped oblong beam, synthesized using
sub-arrays. We show that this solution can cover these trajectories with
consistently high gain, even in light of temporally or spatially inaccurate
orientational data.","['Jakob Struye', 'Filip Lemic', 'Jeroen Famaey']",2022-12-12T13:04:28Z,http://arxiv.org/abs/2212.05865v1,"['cs.NI', 'eess.SP']","millimeter-wave,beamforming,virtual reality,Head-Mounted Display,wireless network,antenna,orientation,Angle of Arrival,sub-arrays,gain"
"Artificial intelligence-driven digital twin of a modern house
  demonstrated in virtual reality","A digital twin is a powerful tool that can help monitor and optimize physical
assets in real-time. Simply put, it is a virtual representation of a physical
asset, enabled through data and simulators, that can be used for a variety of
purposes such as prediction, monitoring, and decision-making. However, the
concept of digital twin can be vague and difficult to understand, which is why
a new concept called ""capability level"" has been introduced. This concept
categorizes digital twins based on their capability and defines a scale from
zero to five, with each level indicating an increasing level of functionality.
These levels are standalone, descriptive, diagnostic, predictive, prescriptive,
and autonomous. By understanding the capability level of a digital twin, we can
better understand its potential and limitations. To demonstrate the concepts,
we use a modern house as an example. The house is equipped with a range of
sensors that collect data about its internal state, which can then be used to
create digital twins of different capability levels. These digital twins can be
visualized in virtual reality, allowing users to interact with and manipulate
the virtual environment. The current work not only presents a blueprint for
developing digital twins but also suggests future research directions to
enhance this technology. Digital twins have the potential to transform the way
we monitor and optimize physical assets, and by understanding their
capabilities, we can unlock their full potential.","['Elias Mohammed Elfarri', 'Adil Rasheed', 'Omer San']",2022-12-14T08:48:37Z,http://arxiv.org/abs/2212.07102v2,"['cs.CV', 'cs.GR', 'cs.HC']","Artificial intelligence,Digital twin,Virtual reality,Physical asset,Data,Capability level,Sensors,Virtual environment,Prediction,Optimization"
"Assessment of user-interaction strategies for neurosurgical data
  navigation and annotation in virtual reality","While virtual-reality (VR) has shown great promise in radiological tasks,
effective user-interaction strategies that can improve efficiency and
ergonomics are still under-explored and systematic evaluations of VR
interaction techniques in the context of complex anatomical models are rare.
Therefore, our study aims to identify the most effective interaction techniques
for two common neurosurgical planning tasks in VR (point annotation and
note-taking) from the state-of-the-arts, and propose a novel technique for
efficient sub-volume selection necessary in neuroanatomical navigation. We
assessed seven user-interaction methods with multiple input modalities (gaze,
head motion, controller, and voice) for point placement and note-taking in the
context of annotating brain aneurysms for cerebrovascular surgery. Furthermore,
we proposed and evaluated a novel technique, called magnified selection diorama
(Maserama) for easy navigation and selection of complex 3D anatomies in VR.
Both quantitative and semi-quantitative (i.e., NASA Task Load Index) metrics
were employed through user studies to reveal the performance of each
interaction scheme in terms of accuracy, efficiency, and usability. Our
evaluations demonstrated that controller-based interaction is preferred over
eye-tracking-based methods for point placement while voice recording and
virtual keyboard typing are better than freehand writing for note-taking.
Furthermore, our new Maserama sub-volume selection technique was proven to be
highly efficient and easy-to-use. Our study is the first to provide a
systematic assessment of existing and new VR interaction schemes for
neurosurgical data navigation and annotation. It offers valuable insights and
tools to guide the design of future VR systems for radiological and surgical
applications.","['Owen Hellum', 'Marta Kersten-Oertel', 'Yiming Xiao']",2022-12-16T19:36:04Z,http://arxiv.org/abs/2212.08688v1,['cs.HC'],"neurosurgical data,virtual reality,user-interaction strategies,annotation,navigation,anatomical models,point placement,note-taking,sub-volume selection,3D anatomies"
SoK: Data Privacy in Virtual Reality,"The adoption of virtual reality (VR) technologies has rapidly gained momentum
in recent years as companies around the world begin to position the so-called
""metaverse"" as the next major medium for accessing and interacting with the
internet. While consumers have become accustomed to a degree of data harvesting
on the web, the real-time nature of data sharing in the metaverse indicates
that privacy concerns are likely to be even more prevalent in the new ""Web
3.0."" Research into VR privacy has demonstrated that a plethora of sensitive
personal information is observable by various would-be adversaries from just a
few minutes of telemetry data. On the other hand, we have yet to see VR
parallels for many privacy-preserving tools aimed at mitigating threats on
conventional platforms. This paper aims to systematize knowledge on the
landscape of VR privacy threats and countermeasures by proposing a
comprehensive taxonomy of data attributes, protections, and adversaries based
on the study of 68 collected publications. We complement our qualitative
discussion with a statistical analysis of the risk associated with various data
sources inherent to VR in consideration of the known attacks and defenses. By
focusing on highlighting the clear outstanding opportunities, we hope to
motivate and guide further research into this increasingly important field.","['Gonzalo Munilla Garrido', 'Vivek Nair', 'Dawn Song']",2023-01-14T16:02:40Z,http://arxiv.org/abs/2301.05940v2,"['cs.HC', 'cs.CR']","Data Privacy,Virtual Reality,Metaverse,Web 3.0,Telemetry Data,Privacy-Preserving Tools,Threats,Countermeasures,Taxonomy,Risk Analysis"
"Exploiting Out-of-band Motion Sensor Data to De-anonymize Virtual
  Reality Users","Virtual Reality (VR) is an exciting new consumer technology which offers an
immersive audio-visual experience to users through which they can navigate and
interact with a digitally represented 3D space (i.e., a virtual world) using a
headset device. By (visually) transporting users from the real or physical
world to exciting and realistic virtual spaces, VR systems can enable
true-to-life and more interactive versions of traditional applications such as
gaming, remote conferencing, social networking and virtual tourism. However, as
with any new consumer technology, VR applications also present significant
user-privacy challenges. This paper studies a new type of privacy attack
targeting VR users by connecting their activities visible in the virtual world
(enabled by some VR application/service) to their physical state sensed in the
real world. Specifically, this paper analyzes the feasibility of carrying out a
de-anonymization or identification attack on VR users by correlating visually
observed movements of users' avatars in the virtual world with some auxiliary
data (e.g., motion sensor data from mobile/wearable devices held by users)
representing their context/state in the physical world. To enable this attack,
this paper proposes a novel framework which first employs a learning-based
activity classification approach to translate the disparate visual movement
data and motion sensor data into an activity-vector to ease comparison,
followed by a filtering and identity ranking phase outputting an ordered list
of potential identities corresponding to the target visual movement data.
Extensive empirical evaluation of the proposed framework, under a comprehensive
set of experimental settings, demonstrates the feasibility of such a
de-anonymization attack.","['Mohd Sabra', 'Nisha Vinayaga Sureshkanth', 'Ari Sharma', 'Anindya Maiti', 'Murtuza Jadliwala']",2023-01-22T02:50:05Z,http://arxiv.org/abs/2301.09041v1,"['cs.CR', 'cs.HC']","Virtual Reality,Motion Sensor Data,De-anonymization,VR Users,Privacy Attack,Activity Classification,Learning-based,Identity Ranking,Framework,Empirical Evaluation"
"SONIA: an immersive customizable virtual reality system for the
  education and exploration of brain networks","While mastery of neuroanatomy is important for the investigation of the
brain, there is an increasing interest in exploring the neural pathways to
better understand the roles of neural circuitry in brain functions. To tackle
the limitations of traditional 2D-display-based neuronavigation software in
intuitively visualizing complex 3D anatomies, several virtual reality (VR) and
augmented reality (AR) solutions have been proposed to facilitate
neuroanatomical education. However, with the increasing knowledge on brain
connectivity and the functioning of the sub-systems, there is still a lack of
similar software solutions for the education and exploration of these topics,
which demand more elaborate visualization and interaction strategies. To
address this gap, we designed the immerSive custOmizable Neuro learnIng plAform
(SONIA), a novel user-friendly VR software system with a multi-scale
interaction paradigm that allows flexible customization of learning materials.
With both quantitative and qualitative evaluations through user studies, the
proposed system is shown to have high usability, attractive visual design, and
good educational value. As the first immersive system that integrates
customizable design and detailed narratives of the brain sub-systems for the
education of neuroanatomy and brain connectivity, SONIA showcases new potential
directions and provides valuable insights regarding medical learning and
exploration in VR.","['Owen Hellum', 'Christopher Steele', 'Yiming Xiao']",2023-01-24T01:04:15Z,http://arxiv.org/abs/2301.09772v2,"['cs.HC', 'cs.MM']","neuroanatomy,brain networks,virtual reality,neuronavigation,3D anatomies,brain connectivity,interaction strategies,user-friendly,educational value"
Minimizing the Motion-to-Photon-delay (MPD) in Virtual Reality Systems,"With the advent of low-power ultra-fast hardware and GPUs, virtual reality
(VR) has gained a lot of prominence in the last few years and is being used in
various areas such as education, entertainment, scientific visualization, and
computer-aided design. VR-based applications are highly interactive, and one of
the most important performance metrics for these applications is the
motion-to-photon-delay (MPD). MPD is the delay from the users head movement to
the time at which the image gets updated on the VR screen. Since the human
visual system can even detect an error of a few pixels (very spatially
sensitive), the MPD should be as small as possible. Popular VR vendors use the
GPU-accelerated Asynchronous Time Warp (ATW) algorithm to reduce the MPD. ATW
reduces the MPD if and only if the warping operation finishes just before the
display refreshes. However, due to the competition between applications for the
shared GPU, the GPU-accelerated ATW algorithm suffers from an unpredictable ATW
latency, making it challenging to find the ideal time instance for starting the
time warp and ensuring that it completes with the least amount of lag relative
to the screen refresh. Hence, the state-of-the-art is to use a separate
hardware unit for the time warping operation. Our approach, PredATW, uses an
ML-based predictor to predict the ATW latency for a VR application, and then
schedule it as late as possible. This is the first work to do so. Our predictor
achieves an error of 0.77 ms across several popular VR applications for
predicting the ATW latency. As compared to the baseline architecture, we reduce
deadline misses by 73.1%.","['Akanksha Dixit', 'Smruti R. Sarangi']",2023-01-25T05:10:04Z,http://arxiv.org/abs/2301.10408v1,['cs.AR'],"Virtual reality,Motion-to-photon-delay,GPU,Asynchronous Time Warp,ATW algorithm,Latency,ML-based predictor,Deadline misses,Hardware unit"
"User-centric Heterogeneous-action Deep Reinforcement Learning for
  Virtual Reality in the Metaverse over Wireless Networks","The Metaverse is emerging as maturing technologies are empowering the
different facets. Virtual Reality (VR) technologies serve as the backbone of
the virtual universe within the Metaverse to offer a highly immersive user
experience. As mobility is emphasized in the Metaverse context, VR devices
reduce their weights at the sacrifice of local computation abilities. In this
paper, for a system consisting of a Metaverse server and multiple VR users, we
consider two cases of (i) the server generating frames and transmitting them to
users, and (ii) users generating frames locally and thus consuming device
energy. Moreover, in our multi-user VR scenario for the Metaverse, users have
different characteristics and demands for Frames Per Second (FPS). Then the
channel access arrangement (including the decisions on frame generation
location), and transmission powers for the downlink communications from the
server to the users are jointly optimized to improve the utilities of users.
This joint optimization is addressed by deep reinforcement learning (DRL) with
heterogeneous actions. Our proposed user-centric DRL algorithm is called
User-centric Critic with Heterogenous Actors (UCHA). Extensive experiments
demonstrate that our UCHA algorithm leads to remarkable results under various
requirements and constraints.","['Wenhan Yu', 'Terence Jie Chua', 'Jun Zhao']",2023-02-03T00:12:12Z,http://arxiv.org/abs/2302.01471v2,"['cs.NI', 'cs.AI', 'cs.LG']","Virtual Reality,Metaverse,Wireless Networks,Deep Reinforcement Learning,User-centric,Frames Per Second,Channel Access,Transmission Powers,Heterogeneous Actions"
Virtual Reality for medical education and training of Diabetic Foot,"Diabetic Foot is one of the most common complications of Diabetes Mellitus
and the leading non-traumatic cause of lower-limb amputations worldwide. These
complications are preventable with early diagnosis and timely care. However,
even in the context of expanding primary health care, this problem continues to
increase, which suggests a gap in the training of primary health care
professionals regarding the diagnosis and treatment of Diabetic Foot. This
project proposes the development of a Virtual Reality simulator for training
students and professionals in primary health care, aiming to collaborate in
filling this gap. The application features gamification elements to increase
user engagement. The context of medical care in primary care will be simulated
with various clinical cases, including several virtual patients with different
stages related to the Diabetic Foot, seeking to provide credible and distinct
experiences to potential users. In addition, we aim to verify usability,
effectiveness, and any side effects (cybersickness). Finally, we plan to
conduct field studies with qualified students and professionals to identify the
main benefits and obstacles to applying the technology.","['Gabriel Riva', 'Wellington Dores', 'Artur Damasio', 'Daniel Guimarães Cacione', 'Joaquim Jorge', 'Ezequiel Zorzal']",2023-02-06T17:14:17Z,http://arxiv.org/abs/2302.02939v1,['cs.HC'],"Virtual Reality,medical education,training,Diabetic Foot,Diabetes Mellitus,lower-limb amputations,primary health care,Virtual Reality simulator,gamification,usability"
